gen,best,avg
314,1167.3019302395562,263.53684480309005
315,1197.9262805708252,291.7661610308104
316,1203.2759978528027,280.4385136975526
317,1201.6059800558855,279.9693676975502
318,1172.8097850973495,278.2349197190946
319,1206.7631923419,317.97477125268324
320,1200.171119729804,269.4979423916464
321,1201.8524259691146,263.40941938064236
322,1201.68916867435,369.0275676703608
323,1173.9556822147256,310.10606355409845
324,1170.7931109658753,235.83318038247208
325,1201.6132970750116,373.5775045630638
326,1172.152816571761,282.07325873584784
327,1201.8353426224735,298.5208441689054
328,1200.1669757111745,227.8737915984775
329,1210.0180996862184,271.81401089079975
330,1171.464757194886,310.89179002988783
331,1202.1202862990465,324.10335165208915
332,1172.4672096330955,255.23786837422762
333,1165.9098080952267,255.8806632028437
334,1171.7020771463153,308.898133108253
335,1201.5993334045945,347.78261436845594
336,1171.3252574296432,403.1406289148108
337,1202.7410262065127,316.4008234810808
338,1201.2347563464243,331.7107908180245
339,1194.534628534856,388.84358605455583
340,1202.0806898065098,329.47549836035336
341,1171.296381128206,283.9221485540514
342,1203.6219525141876,329.39893343962
343,1196.9228896558348,276.9499787581344
344,1174.0320560638859,300.6568803601217
345,1206.4251249477086,290.6681602945265
346,1206.684405809928,290.44215913964837
347,1162.9692296911494,264.4121090578776
348,1205.1290896388832,325.30719658653726
349,1198.9129460060076,246.6080917422358
350,1170.515522799425,259.97945057048463
351,1202.0217008407362,259.92981978329107
352,1168.6775781558429,255.26191316991532
353,1162.1594860972414,263.8297673556993
354,1171.6472214141002,289.8576567535891
355,1164.2468865002281,271.17248427550703
356,1168.1713078985545,282.4556930820564
357,1173.094564275811,342.89716296710185
358,1198.5135057478283,237.8918538922353
359,1166.0153995158946,278.335128672558
360,1201.455636630283,303.3419328689424
361,1199.0135281612813,269.99973078990985
362,1202.1221936870504,296.0949457082479
363,1174.932145689111,268.33352731753274
364,1204.621766336459,298.0574831094574
365,1174.12325180482,259.95011217684004
366,1199.5091114719785,311.7655457121017
367,1202.7866520199193,294.1981133006726
368,1235.6843681002015,287.28304256831075
369,1165.895443889038,333.34021761005204
370,1169.501398488402,322.538582304984
371,1211.256421153798,225.16261493897437
372,1238.9237057965267,305.9666236383147
373,1241.060168479061,322.27120619123957
374,1250.686241055161,340.84661909334835
375,1231.1164119338537,289.50810796189944
376,1243.0861265667802,298.4771714551941
377,1210.7461039099774,311.43411655850684
378,1204.7226442465412,310.01396414892724
379,1247.4193345007964,311.17798728929193
380,1240.3866321336855,383.98368106701406
381,1214.992881804207,365.3677676072434
382,1211.3686507113218,316.80338626012156
383,1215.7259652285081,334.5472719325429
384,1242.7528285686801,281.5042347586726
385,1211.3427983747295,350.33907619533585
386,1248.0748042694534,279.22563937197856
387,1241.5621403098398,348.36634593957353
388,1239.6604755981882,372.0758106145393
389,1211.6454593796338,329.2288338742129
390,1244.5146610160746,323.1131694285714
391,1216.8754614675122,287.5635444243145
392,1245.6063879094575,367.66473998620097
393,1245.4168440894712,321.0782640195568
394,1213.0271084886394,275.24215096496664
395,1239.0108918006495,316.25270255986646
396,1236.8126920367743,336.71450771564196
397,1269.8281834410266,330.16355744781583
398,1239.5078255131623,348.5952651982096
399,1214.4310304662554,306.93150626312763
400,1241.8383360718062,416.44907452142036
401,1244.5363009574844,350.83411567433325
402,1235.8047455428366,288.5666795571973
403,1216.8386974848183,241.45726805748737
404,1240.883156214829,302.1752724790562
405,1243.1316029764907,362.6934728220412
406,1241.7521903819954,366.1115522422159
407,1236.533254490856,326.11780642817996
408,1273.261587305591,405.35409484407865
409,1213.1657542970486,308.4724119106819
410,1204.8121190049842,297.69335944849
411,1235.8761977036474,362.12742102349864
412,1208.0297448379815,392.37324786326525
413,1245.3588745295747,245.1714034652886
414,1234.96458494456,259.62186069567247
415,1235.5922583344397,376.5410237380856
416,1213.4063721890332,307.0337412245348
417,1248.6060180890943,401.7024196031705
418,1200.667280161189,320.09466500782753
419,1240.811968885437,348.19938649063727
420,1207.7016580721593,393.496804674392
421,1243.3162035643566,299.2548936677319
422,1213.885536539221,360.2414450381001
423,1242.0530359640873,319.0088285930682
424,1247.8644832389489,323.1352744573004
425,1250.759161132622,349.9578176031845
426,1246.106925689794,301.6350553313902
427,1246.9732447304918,312.8073781459345
428,1167.756544386593,298.18537537490266
429,1244.0733065533248,337.5777901167089
430,1241.1678347284128,340.8917462437317
431,1237.6577038738183,422.75441458297274
432,1212.6019934353737,315.272303412834
433,1241.7313657954123,293.11872316307347
434,1215.2204330071258,310.45562341204015
435,1215.569362825513,315.9178120400505
436,1214.0472745043407,317.6229433698227
437,1214.1279830980777,291.3310563315907
438,1173.98947443541,351.997288398588
439,1164.824744057217,319.4316707711456
440,1199.4307871963317,228.57568557902783
441,1163.781933803157,289.55737302984045
442,1213.1094369015643,368.773058449994
443,1212.9614850784803,327.9989063006609
444,1216.4984016570993,338.85865337758764
445,1172.712520051036,256.0257461653322
446,1201.666850344841,232.4284002072014
447,1167.9515256544473,299.617578988314
448,1172.0008799820991,279.6717942926102
449,1178.2348937747506,312.11141712711634
450,1201.0234524480402,272.4785975074681
451,1166.6533051874908,314.227185841139
452,1181.096025241411,311.03350520128845
453,1163.935814228144,193.5576871795774
454,1169.4483064139163,278.847051043388
455,1170.583529475166,311.39566439428273
456,1200.9626769544136,346.3536711091254
457,1202.4211924310812,331.5976363153614
458,1248.6993647810277,409.99846914727925
459,1185.0681649022113,315.18428474592747
460,1213.901991272153,371.72830462387776
461,1167.1079775478145,240.28675242868684
462,1173.6433221130433,281.49403042096003
463,1172.0713284355506,327.8598579434104
464,1172.3866176670674,265.30660419629993
465,1161.2339350395673,292.38953902996957
466,1199.5558234560365,240.29014080605225
467,1170.6798846013173,308.9458458158924
468,1181.3417225931516,389.1382157564375
469,1173.330424087645,383.36334263043375
470,1166.6004765490775,343.76276045631033
471,1172.3940011366071,337.94032760552886
472,1163.4079957942135,310.1297922475961
473,1216.4679500572327,433.460482444658
474,1201.2246213094365,358.6149713855052
475,1209.1065651107951,260.469755361197
476,1167.662415863944,370.7567765045242
477,1165.2341125668781,266.77919877982725
478,1220.5889059055771,323.130462848963
479,1179.6944713412809,320.59053155256413
480,1168.2538269602837,360.0308140185113
481,1219.3281427423628,300.52719658110857
482,1171.1262645868471,351.5138257213713
483,1217.1234412995527,397.3738074291972
484,1180.6001668224048,318.59184967458845
485,1221.8519198546508,332.67875350250944
486,1218.336147621488,312.07960073233755
487,1180.3742443894032,319.6092952306528
488,1171.8223316138133,335.5390830053781
489,1164.7738032199684,316.91937189392837
490,1212.9900297820097,307.1201171925151
491,1215.6485453894425,337.4917811290277
492,1181.246536446797,323.87720421256876
493,1216.6817083028927,336.7884353769772
494,1212.353070179953,372.5951150885975
495,1218.488495825659,303.493263519107
496,1173.2338160055285,325.7536006411186
497,1176.9606735939485,315.135073149374
498,1221.9395130855069,322.87238766930915
499,1200.2191846216028,279.5533784509275
500,1219.1874329918874,362.56254752733287
501,1207.3569656961251,417.3797132032475
502,1135.840877093219,234.06881581190632
503,1171.9557386170613,316.87613728467704
504,1165.9298314402645,330.78040906581566
505,1168.0075061573534,343.04340505525914
506,1164.1423033112558,327.0954755287968
507,1170.6466326402829,304.7533257109534
508,1212.9456207636422,294.48017950399134
509,1199.295316026456,255.81803989260385
510,1213.0524596702235,335.9081727033107
511,1166.3870930899782,413.7448010693908
512,1215.023860887383,389.95828409886207
513,1217.4312780641294,213.99595094298655
514,1167.2700930013957,296.1070690423402
515,1170.2661558124835,366.1349180393834
516,1212.2710669041637,338.2040423737282
517,1215.1449702061993,394.5762873911925
518,1200.7218671508665,291.7602162246055
519,1171.3898652279663,366.05157594123324
520,1172.609556739493,317.8401719589336
521,1209.5147290356856,337.13665359346174
522,1208.117760949246,357.09701994558446
523,1217.8497435911515,380.0438902654995
524,1208.5533805712093,374.2185412488108
525,1215.369851246773,260.767568136098
526,1166.664509520378,266.0825810956941
527,1212.1013274439251,305.85705549638317
528,1172.243435298203,377.4888670314151
529,1164.328097095473,360.4190412802409
530,1249.052378347886,393.07496035371344
531,1166.323803658209,350.6433750615398
532,1213.683234371321,383.7650889679244
533,1216.9282482290778,350.30889936258046
534,1252.9315152077722,415.1867529607205
535,1167.2153219866286,312.2669767030552
536,1173.6432249512518,297.1584474907237
537,1164.4653891281598,342.64334064547575
538,1163.987518028278,285.0468977760755
539,1172.7912245794932,339.4197071975671
540,1187.9194694654348,316.14740532896224
541,1167.2993215770343,371.436886770149
542,1165.4650028338774,243.2598248752914
543,1253.027289200183,302.59699644231057
544,1218.6758508211387,353.10150317616717
545,1211.93139043258,338.01026489010735
546,1176.251850186814,255.63996301853552
547,1168.9806178864608,277.8636967430517
548,1209.1309597003324,406.4888520069376
549,1205.1603196642272,395.8750448452859
550,1211.9520360527802,322.7918151941462
551,1171.3642184461892,259.0254460629829
552,1163.6772496393144,335.3139625924109
553,1163.5103089002046,402.0588576728113
554,1199.682765270308,298.4807036352551
555,1199.7303110833548,310.5320810873216
556,1168.6974454700423,348.5720903595504
